CustomerID,Total_Orders,Total_Quantity,Total_Spending,Average_Order_Value,Average_Unit_Price,Average_Items_In_Cart,First_Purchase,Last_Purchase,Customer_Tenure,Days_Since_Last_Order,Purchase_Frequency,Favorite_Product,Preferred_Payment,Preferred_Referral,Cluster
C25382,1,5.0,454.35,454.35,90.87,5.0,2023-06-24,2023-06-24,737,737,0.0,Phone,Cash,Instagram,2
C25406,1,1.0,161.24,161.24,161.24,3.0,2024-12-18,2024-12-18,194,194,0.01,Desk,Credit Card,Instagram,7
C25445,1,5.0,658.5,658.5,131.7,8.0,2025-01-29,2025-01-29,152,152,0.01,Laptop,Cash,Google,0
C25503,1,2.0,211.14,211.14,105.57,5.0,2023-12-13,2023-12-13,565,565,0.0,Phone,Debit Card,Google,2
C25534,1,5.0,984.2,984.2,196.84,5.0,2023-01-23,2023-01-23,889,889,0.0,Desk,Credit Card,Instagram,7
C25580,1,4.0,1563.36,1563.36,390.84,9.0,2023-03-02,2023-03-02,851,851,0.0,Phone,Credit Card,Referral,2
C25587,1,4.0,48.4,48.4,12.1,8.0,2024-12-09,2024-12-09,203,203,0.0,Printer,Debit Card,Google,1
C25783,1,5.0,1253.4,1253.4,250.68,8.0,2025-03-22,2025-03-22,100,100,0.01,Desk,Cash,Instagram,7
C25841,1,3.0,904.65,904.65,301.55,5.0,2024-05-29,2024-05-29,397,397,0.0,Monitor,Debit Card,Google,6
C25918,1,5.0,666.95,666.95,133.39,6.0,2023-08-03,2023-08-03,697,697,0.0,Laptop,Credit Card,Referral,0
C25967,1,5.0,1709.8,1709.8,341.96,6.0,2024-01-16,2024-01-16,531,531,0.0,Tablet,Debit Card,Email,3
C26118,1,2.0,144.78,144.78,72.39,7.0,2023-03-26,2023-03-26,827,827,0.0,Laptop,Online,Instagram,0
C26137,1,2.0,856.18,856.18,428.09,6.0,2025-03-12,2025-03-12,110,110,0.01,Tablet,Credit Card,Instagram,3
C26152,1,2.0,972.7,972.7,486.35,6.0,2024-06-14,2024-06-14,381,381,0.0,Phone,Online,Referral,2
C26163,1,5.0,625.1,625.1,125.02,9.0,2024-07-03,2024-07-03,362,362,0.0,Desk,Debit Card,Google,7
C26188,1,1.0,618.68,618.68,618.68,6.0,2023-04-20,2023-04-20,802,802,0.0,Chair,Online,Referral,1
C26210,1,3.0,1334.25,1334.25,444.75,6.0,2023-11-27,2023-11-27,581,581,0.0,Laptop,Cash,Facebook,0
C26223,1,1.0,657.07,657.07,657.07,4.0,2024-10-04,2024-10-04,269,269,0.0,Tablet,Cash,Google,3
C26340,1,2.0,369.2,369.2,184.6,7.0,2024-03-13,2024-03-13,474,474,0.0,Desk,Gift Card,Email,7
C26364,1,4.0,1314.24,1314.24,328.56,4.0,2023-04-16,2023-04-16,806,806,0.0,Laptop,Debit Card,Email,0
C26445,1,3.0,1500.24,1500.24,500.08,6.0,2023-06-30,2023-06-30,731,731,0.0,Chair,Debit Card,Facebook,5
C26637,1,5.0,869.8,869.8,173.96,8.0,2023-08-31,2023-08-31,669,669,0.0,Chair,Debit Card,Instagram,1
C26718,1,4.0,1052.36,1052.36,263.09,8.0,2025-01-30,2025-01-30,151,151,0.01,Printer,Debit Card,Google,1
C26767,1,1.0,303.6,303.6,303.6,5.0,2023-08-10,2023-08-10,690,690,0.0,Printer,Cash,Facebook,1
C26817,1,2.0,268.56,268.56,134.28,2.0,2025-04-02,2025-04-02,89,89,0.01,Phone,Gift Card,Email,2
C26966,1,5.0,1872.9,1872.9,374.58,10.0,2023-05-06,2023-05-06,786,786,0.0,Printer,Gift Card,Instagram,5
C27070,1,4.0,2612.52,2612.52,653.13,8.0,2024-10-07,2024-10-07,266,266,0.0,Laptop,Credit Card,Instagram,5
C27072,1,3.0,463.11,463.11,154.37,4.0,2025-06-15,2025-06-15,15,15,0.06,Chair,Gift Card,Instagram,1
C27078,1,5.0,1181.9,1181.9,236.38,7.0,2024-11-02,2024-11-02,240,240,0.0,Desk,Credit Card,Facebook,7
C27202,1,5.0,3267.35,3267.35,653.47,10.0,2024-08-19,2024-08-19,315,315,0.0,Chair,Credit Card,Referral,5
C27203,1,5.0,1040.85,1040.85,208.17,6.0,2023-02-16,2023-02-16,865,865,0.0,Laptop,Credit Card,Facebook,0
C27305,1,2.0,1390.58,1390.58,695.29,6.0,2024-07-25,2024-07-25,340,340,0.0,Chair,Credit Card,Instagram,5
C27401,1,3.0,1619.73,1619.73,539.91,8.0,2024-11-24,2024-11-24,218,218,0.0,Laptop,Credit Card,Email,0
C27430,1,5.0,474.25,474.25,94.85,6.0,2025-02-04,2025-02-04,146,146,0.01,Printer,Cash,Email,1
C27435,1,5.0,2104.9,2104.9,420.98,7.0,2024-05-27,2024-05-27,399,399,0.0,Tablet,Cash,Facebook,5
C27438,1,1.0,70.32,70.32,70.32,4.0,2023-11-11,2023-11-11,597,597,0.0,Printer,Cash,Facebook,1
C27613,1,4.0,2462.6,2462.6,615.65,9.0,2024-06-27,2024-06-27,368,368,0.0,Tablet,Debit Card,Google,5
C27898,1,5.0,2513.55,2513.55,502.71,7.0,2023-10-09,2023-10-09,630,630,0.0,Printer,Gift Card,Google,5
C28049,1,2.0,1293.38,1293.38,646.69,7.0,2023-05-21,2023-05-21,771,771,0.0,Printer,Debit Card,Instagram,1
C28152,1,3.0,1714.59,1714.59,571.53,6.0,2025-05-12,2025-05-12,49,49,0.02,Desk,Debit Card,Facebook,7
C28386,1,1.0,277.09,277.09,277.09,2.0,2024-04-06,2024-04-06,450,450,0.0,Desk,Cash,Referral,7
C28406,1,1.0,23.53,23.53,23.53,2.0,2025-05-17,2025-05-17,44,44,0.02,Chair,Gift Card,Instagram,1
C28552,1,2.0,29.86,29.86,14.93,4.0,2025-02-25,2025-02-25,125,125,0.01,Chair,Online,Facebook,1
C28648,1,4.0,1895.44,1895.44,473.86,7.0,2024-04-28,2024-04-28,428,428,0.0,Monitor,Debit Card,Facebook,6
C28712,1,2.0,303.32,303.32,151.66,6.0,2024-05-06,2024-05-06,420,420,0.0,Printer,Cash,Instagram,1
C28740,1,3.0,1670.97,1670.97,556.99,4.0,2023-06-30,2023-06-30,731,731,0.0,Chair,Online,Facebook,5
C28828,1,3.0,395.88,395.88,131.96,8.0,2025-02-04,2025-02-04,146,146,0.01,Desk,Credit Card,Instagram,7
C28889,1,3.0,258.87,258.87,86.29,6.0,2025-03-04,2025-03-04,118,118,0.01,Chair,Cash,Instagram,1
C28893,1,1.0,620.21,620.21,620.21,1.0,2024-11-10,2024-11-10,232,232,0.0,Tablet,Online,Referral,3
C28976,1,2.0,1067.62,1067.62,533.81,3.0,2023-01-24,2023-01-24,888,888,0.0,Printer,Credit Card,Email,1
C29041,1,3.0,1768.68,1768.68,589.56,6.0,2023-06-27,2023-06-27,734,734,0.0,Phone,Online,Facebook,2
C29059,1,3.0,1503.9,1503.9,501.3,3.0,2025-01-22,2025-01-22,159,159,0.01,Desk,Online,Facebook,7
C29063,1,5.0,478.75,478.75,95.75,8.0,2024-09-29,2024-09-29,274,274,0.0,Chair,Online,Instagram,1
C29072,1,2.0,687.98,687.98,343.99,4.0,2023-03-10,2023-03-10,843,843,0.0,Laptop,Online,Google,0
C29092,1,4.0,60.04,60.04,15.01,6.0,2024-05-29,2024-05-29,397,397,0.0,Chair,Cash,Facebook,1
C29314,1,2.0,788.6,788.6,394.3,6.0,2023-06-08,2023-06-08,753,753,0.0,Monitor,Cash,Email,6
C29318,1,1.0,24.48,24.48,24.48,1.0,2024-07-12,2024-07-12,353,353,0.0,Monitor,Gift Card,Instagram,6
C29405,1,2.0,448.74,448.74,224.37,3.0,2025-03-11,2025-03-11,111,111,0.01,Phone,Debit Card,Referral,2
C29416,1,1.0,150.17,150.17,150.17,1.0,2025-01-26,2025-01-26,155,155,0.01,Laptop,Debit Card,Referral,0
C29432,1,3.0,1406.22,1406.22,468.74,4.0,2023-05-16,2023-05-16,776,776,0.0,Chair,Cash,Instagram,5
C29467,1,1.0,191.76,191.76,191.76,1.0,2023-06-07,2023-06-07,754,754,0.0,Chair,Credit Card,Instagram,1
C29483,1,4.0,1222.88,1222.88,305.72,5.0,2024-08-21,2024-08-21,313,313,0.0,Desk,Online,Facebook,7
C29568,1,4.0,194.44,194.44,48.61,7.0,2024-06-10,2024-06-10,385,385,0.0,Printer,Online,Facebook,1
C29620,1,1.0,460.13,460.13,460.13,1.0,2023-10-25,2023-10-25,614,614,0.0,Phone,Credit Card,Google,2
C29685,1,5.0,1923.45,1923.45,384.69,6.0,2024-01-24,2024-01-24,523,523,0.0,Chair,Credit Card,Email,5
C29697,1,1.0,401.82,401.82,401.82,5.0,2024-06-08,2024-06-08,387,387,0.0,Tablet,Credit Card,Google,3
C29701,1,3.0,61.62,61.62,20.54,3.0,2025-04-15,2025-04-15,76,76,0.01,Chair,Credit Card,Instagram,1
C29703,1,4.0,2790.0,2790.0,697.5,7.0,2023-12-17,2023-12-17,561,561,0.0,Desk,Cash,Referral,5
C29758,1,2.0,798.64,798.64,399.32,6.0,2023-09-19,2023-09-19,650,650,0.0,Chair,Online,Instagram,1
C29844,1,2.0,877.24,877.24,438.62,3.0,2025-04-19,2025-04-19,72,72,0.01,Tablet,Cash,Facebook,3
C29885,1,3.0,568.32,568.32,189.44,4.0,2023-11-19,2023-11-19,589,589,0.0,Printer,Cash,Email,1
C29905,1,2.0,1067.9,1067.9,533.95,5.0,2024-03-17,2024-03-17,470,470,0.0,Desk,Online,Google,7
C29914,1,1.0,133.39,133.39,133.39,2.0,2024-08-03,2024-08-03,331,331,0.0,Laptop,Debit Card,Referral,0
C29931,1,4.0,612.36,612.36,153.09,4.0,2023-10-04,2023-10-04,635,635,0.0,Desk,Online,Referral,7
C30010,1,3.0,382.23,382.23,127.41,7.0,2025-04-25,2025-04-25,66,66,0.01,Phone,Gift Card,Referral,2
C30168,1,3.0,933.99,933.99,311.33,3.0,2024-08-24,2024-08-24,310,310,0.0,Phone,Cash,Instagram,2
C30184,1,1.0,427.06,427.06,427.06,1.0,2023-09-28,2023-09-28,641,641,0.0,Monitor,Online,Referral,6
C30334,1,2.0,267.1,267.1,133.55,7.0,2023-12-07,2023-12-07,571,571,0.0,Phone,Cash,Facebook,2
C30411,1,4.0,2551.16,2551.16,637.79,9.0,2025-04-22,2025-04-22,69,69,0.01,Printer,Gift Card,Google,5
C30477,1,1.0,201.58,201.58,201.58,2.0,2025-04-12,2025-04-12,79,79,0.01,Printer,Debit Card,Email,1
C30513,1,1.0,586.44,586.44,586.44,5.0,2024-09-08,2024-09-08,295,295,0.0,Tablet,Online,Facebook,3
C30643,1,3.0,918.87,918.87,306.29,7.0,2024-06-11,2024-06-11,384,384,0.0,Laptop,Credit Card,Instagram,0
C30686,1,4.0,1614.32,1614.32,403.58,9.0,2025-06-13,2025-06-13,17,17,0.06,Printer,Online,Referral,1
C30711,1,1.0,278.66,278.66,278.66,2.0,2024-01-20,2024-01-20,527,527,0.0,Monitor,Gift Card,Instagram,6
C30722,1,5.0,1333.9,1333.9,266.78,5.0,2023-09-27,2023-09-27,642,642,0.0,Desk,Gift Card,Email,7
C30923,1,1.0,654.27,654.27,654.27,2.0,2023-01-28,2023-01-28,884,884,0.0,Laptop,Gift Card,Facebook,0
C30955,1,4.0,167.6,167.6,41.9,9.0,2023-11-05,2023-11-05,603,603,0.0,Phone,Gift Card,Instagram,2
C31072,1,4.0,916.4,916.4,229.1,8.0,2024-04-16,2024-04-16,440,440,0.0,Laptop,Gift Card,Email,0
C31105,1,1.0,583.99,583.99,583.99,2.0,2023-05-11,2023-05-11,781,781,0.0,Chair,Cash,Email,1
C31371,1,2.0,507.36,507.36,253.68,6.0,2023-12-08,2023-12-08,570,570,0.0,Printer,Gift Card,Referral,1
C31412,1,4.0,2042.32,2042.32,510.58,7.0,2024-07-02,2024-07-02,363,363,0.0,Monitor,Credit Card,Email,6
C31501,1,3.0,1764.15,1764.15,588.05,8.0,2025-06-27,2025-06-27,3,3,0.25,Desk,Gift Card,Instagram,7
C31668,1,5.0,569.35,569.35,113.87,6.0,2024-05-24,2024-05-24,402,402,0.0,Laptop,Credit Card,Email,0
C31761,1,4.0,2600.16,2600.16,650.04,6.0,2024-11-01,2024-11-01,241,241,0.0,Chair,Gift Card,Facebook,5
C31764,1,1.0,655.09,655.09,655.09,6.0,2024-12-06,2024-12-06,206,206,0.0,Tablet,Cash,Referral,3
C31772,1,1.0,693.41,693.41,693.41,4.0,2023-07-11,2023-07-11,720,720,0.0,Phone,Debit Card,Instagram,2
C31810,1,1.0,178.44,178.44,178.44,2.0,2023-02-02,2023-02-02,879,879,0.0,Phone,Credit Card,Google,2
C31946,1,4.0,2037.52,2037.52,509.38,6.0,2023-11-21,2023-11-21,587,587,0.0,Desk,Credit Card,Google,7
C32011,1,1.0,628.89,628.89,628.89,2.0,2025-02-26,2025-02-26,124,124,0.01,Chair,Credit Card,Referral,1
C32029,1,4.0,701.44,701.44,175.36,4.0,2024-08-06,2024-08-06,328,328,0.0,Printer,Debit Card,Instagram,1
C32121,1,4.0,795.24,795.24,198.81,9.0,2025-02-12,2025-02-12,138,138,0.01,Laptop,Cash,Referral,0
C32183,1,3.0,1985.67,1985.67,661.89,6.0,2025-02-24,2025-02-24,126,126,0.01,Desk,Online,Referral,7
C32347,1,1.0,249.81,249.81,249.81,1.0,2023-12-13,2023-12-13,565,565,0.0,Printer,Cash,Google,1
C32570,1,1.0,11.39,11.39,11.39,6.0,2023-10-16,2023-10-16,623,623,0.0,Phone,Cash,Email,2
C32580,1,5.0,1874.95,1874.95,374.99,9.0,2023-11-27,2023-11-27,581,581,0.0,Phone,Online,Facebook,5
C32650,1,2.0,1210.52,1210.52,605.26,4.0,2024-05-27,2024-05-27,399,399,0.0,Monitor,Cash,Referral,6
C32687,1,2.0,852.44,852.44,426.22,7.0,2024-12-16,2024-12-16,196,196,0.01,Laptop,Online,Google,0
C32798,1,2.0,993.24,993.24,496.62,2.0,2024-09-15,2024-09-15,288,288,0.0,Phone,Online,Instagram,2
C32854,1,1.0,65.45,65.45,65.45,2.0,2023-02-20,2023-02-20,861,861,0.0,Desk,Cash,Google,7
C32943,1,2.0,824.28,824.28,412.14,2.0,2023-09-08,2023-09-08,661,661,0.0,Desk,Credit Card,Instagram,7
C32956,1,5.0,2715.8,2715.8,543.16,6.0,2024-07-24,2024-07-24,341,341,0.0,Laptop,Online,Instagram,5
C32960,1,5.0,2223.8,2223.8,444.76,7.0,2023-12-01,2023-12-01,577,577,0.0,Printer,Debit Card,Email,5
C33051,1,2.0,883.08,883.08,441.54,2.0,2024-04-23,2024-04-23,433,433,0.0,Phone,Online,Email,2
C33099,1,5.0,241.9,241.9,48.38,9.0,2024-12-28,2024-12-28,184,184,0.01,Laptop,Gift Card,Email,0
C33110,1,3.0,1584.42,1584.42,528.14,3.0,2025-05-31,2025-05-31,30,30,0.03,Chair,Online,Email,1
C33220,1,4.0,1852.16,1852.16,463.04,9.0,2023-02-16,2023-02-16,865,865,0.0,Tablet,Gift Card,Instagram,5
C33260,1,3.0,1270.59,1270.59,423.53,6.0,2024-09-20,2024-09-20,283,283,0.0,Desk,Credit Card,Referral,7
C33313,1,3.0,1738.65,1738.65,579.55,8.0,2025-04-29,2025-04-29,62,62,0.02,Phone,Gift Card,Facebook,2
C33315,1,3.0,1687.65,1687.65,562.55,6.0,2024-06-09,2024-06-09,386,386,0.0,Printer,Debit Card,Email,1
C33540,1,1.0,273.19,273.19,273.19,5.0,2023-10-15,2023-10-15,624,624,0.0,Chair,Debit Card,Facebook,1
C33634,1,4.0,2355.4,2355.4,588.85,7.0,2023-01-31,2023-01-31,881,881,0.0,Monitor,Gift Card,Email,5
C33729,1,3.0,1978.71,1978.71,659.57,6.0,2023-03-31,2023-03-31,822,822,0.0,Monitor,Credit Card,Email,6
C33744,1,4.0,2307.48,2307.48,576.87,5.0,2023-05-09,2023-05-09,783,783,0.0,Chair,Gift Card,Instagram,5
C33802,1,1.0,604.87,604.87,604.87,4.0,2024-07-28,2024-07-28,337,337,0.0,Monitor,Online,Instagram,6
C34134,1,1.0,254.12,254.12,254.12,1.0,2025-04-06,2025-04-06,85,85,0.01,Printer,Online,Email,1
C34266,1,4.0,2519.52,2519.52,629.88,8.0,2025-02-25,2025-02-25,125,125,0.01,Monitor,Debit Card,Instagram,5
C34337,1,5.0,950.55,950.55,190.11,7.0,2024-07-22,2024-07-22,343,343,0.0,Phone,Cash,Google,2
C34416,1,2.0,99.24,99.24,49.62,2.0,2023-01-29,2023-01-29,883,883,0.0,Monitor,Online,Google,6
C34555,1,1.0,372.8,372.8,372.8,6.0,2023-03-12,2023-03-12,841,841,0.0,Chair,Cash,Facebook,1
C34686,1,1.0,68.39,68.39,68.39,3.0,2025-03-28,2025-03-28,94,94,0.01,Tablet,Online,Facebook,3
C35043,1,5.0,132.15,132.15,26.43,5.0,2025-03-05,2025-03-05,117,117,0.01,Monitor,Gift Card,Facebook,6
C35091,1,1.0,211.14,211.14,211.14,1.0,2024-03-29,2024-03-29,458,458,0.0,Monitor,Credit Card,Facebook,6
C35100,1,2.0,639.82,639.82,319.91,3.0,2024-12-15,2024-12-15,197,197,0.01,Phone,Credit Card,Google,2
C35117,1,2.0,1395.86,1395.86,697.93,2.0,2025-05-06,2025-05-06,55,55,0.02,Desk,Credit Card,Google,7
C35123,1,4.0,1546.92,1546.92,386.73,4.0,2024-06-13,2024-06-13,382,382,0.0,Phone,Cash,Facebook,2
C35136,1,1.0,634.94,634.94,634.94,5.0,2023-03-20,2023-03-20,833,833,0.0,Laptop,Online,Instagram,0
C35168,1,2.0,1199.72,1199.72,599.86,7.0,2023-01-24,2023-01-24,888,888,0.0,Tablet,Gift Card,Facebook,3
C35355,1,4.0,1327.6,1327.6,331.9,5.0,2024-04-20,2024-04-20,436,436,0.0,Printer,Cash,Instagram,1
C35377,1,5.0,3119.05,3119.05,623.81,6.0,2023-05-27,2023-05-27,765,765,0.0,Phone,Cash,Email,5
C35397,1,5.0,331.55,331.55,66.31,7.0,2025-05-24,2025-05-24,37,37,0.03,Printer,Gift Card,Referral,1
C35483,1,3.0,671.1,671.1,223.7,3.0,2024-08-31,2024-08-31,303,303,0.0,Printer,Cash,Email,1
C35566,1,4.0,258.76,258.76,64.69,7.0,2023-02-14,2023-02-14,867,867,0.0,Laptop,Debit Card,Google,0
C35628,1,3.0,1660.71,1660.71,553.57,4.0,2024-11-24,2024-11-24,218,218,0.0,Chair,Credit Card,Facebook,5
C35669,1,5.0,2894.15,2894.15,578.83,6.0,2024-06-21,2024-06-21,374,374,0.0,Printer,Cash,Referral,5
C35711,1,4.0,1308.48,1308.48,327.12,4.0,2024-08-31,2024-08-31,303,303,0.0,Monitor,Credit Card,Email,6
C35785,1,1.0,427.82,427.82,427.82,2.0,2024-04-07,2024-04-07,449,449,0.0,Printer,Online,Email,1
C35852,2,7.0,1248.39,624.195,203.72500000000002,5.5,2024-03-05,2025-03-02,482,120,0.0,Monitor,Online,Instagram,4
C35854,1,5.0,939.85,939.85,187.97,9.0,2023-08-29,2023-08-29,671,671,0.0,Tablet,Cash,Google,3
C35983,1,5.0,3137.15,3137.15,627.43,10.0,2024-03-10,2024-03-10,477,477,0.0,Laptop,Credit Card,Email,5
C35987,1,5.0,3267.3,3267.3,653.46,9.0,2023-09-04,2023-09-04,665,665,0.0,Tablet,Cash,Email,5
C36014,1,2.0,869.94,869.94,434.97,7.0,2023-06-11,2023-06-11,750,750,0.0,Printer,Online,Email,1
C36137,1,3.0,717.24,717.24,239.08,8.0,2024-11-24,2024-11-24,218,218,0.0,Laptop,Cash,Google,0
C36150,1,2.0,1069.82,1069.82,534.91,5.0,2023-10-06,2023-10-06,633,633,0.0,Laptop,Debit Card,Google,0
C36174,1,3.0,926.94,926.94,308.98,3.0,2024-05-31,2024-05-31,395,395,0.0,Printer,Cash,Instagram,1
C36383,1,5.0,2107.2,2107.2,421.44,5.0,2024-10-03,2024-10-03,270,270,0.0,Monitor,Cash,Instagram,6
C36408,1,5.0,3075.5,3075.5,615.1,10.0,2024-01-15,2024-01-15,532,532,0.0,Monitor,Gift Card,Instagram,5
C36467,1,1.0,75.78,75.78,75.78,5.0,2023-07-23,2023-07-23,708,708,0.0,Printer,Cash,Google,1
C36492,1,1.0,45.94,45.94,45.94,2.0,2024-08-30,2024-08-30,304,304,0.0,Desk,Cash,Email,7
C36497,1,2.0,86.3,86.3,43.15,3.0,2023-08-22,2023-08-22,678,678,0.0,Desk,Debit Card,Email,7
C36534,1,3.0,1963.62,1963.62,654.54,7.0,2023-11-11,2023-11-11,597,597,0.0,Monitor,Cash,Referral,6
C36540,1,4.0,728.32,728.32,182.08,4.0,2023-09-18,2023-09-18,651,651,0.0,Chair,Gift Card,Email,1
C36613,1,3.0,1894.92,1894.92,631.64,3.0,2023-08-26,2023-08-26,674,674,0.0,Monitor,Credit Card,Facebook,6
C36688,1,1.0,305.17,305.17,305.17,3.0,2023-04-21,2023-04-21,801,801,0.0,Desk,Gift Card,Referral,7
C36725,1,5.0,3253.6,3253.6,650.72,8.0,2024-10-27,2024-10-27,246,246,0.0,Monitor,Credit Card,Email,5
C36778,1,1.0,388.33,388.33,388.33,2.0,2024-12-30,2024-12-30,182,182,0.01,Tablet,Cash,Facebook,3
C36813,1,3.0,1842.45,1842.45,614.15,3.0,2023-11-13,2023-11-13,595,595,0.0,Laptop,Gift Card,Facebook,0
C36825,1,2.0,877.52,877.52,438.76,2.0,2023-02-27,2023-02-27,854,854,0.0,Laptop,Debit Card,Facebook,0
C36938,1,3.0,761.94,761.94,253.98,3.0,2025-02-06,2025-02-06,144,144,0.01,Monitor,Credit Card,Email,6
C36992,1,3.0,671.37,671.37,223.79,3.0,2023-07-14,2023-07-14,717,717,0.0,Chair,Debit Card,Google,1
C36997,1,4.0,745.64,745.64,186.41,6.0,2023-09-08,2023-09-08,661,661,0.0,Phone,Gift Card,Google,2
C37032,1,2.0,847.76,847.76,423.88,7.0,2023-08-11,2023-08-11,689,689,0.0,Phone,Debit Card,Referral,2
C37235,1,4.0,151.04,151.04,37.76,7.0,2023-06-02,2023-06-02,759,759,0.0,Desk,Debit Card,Google,7
C37249,1,2.0,491.72,491.72,245.86,4.0,2023-10-23,2023-10-23,616,616,0.0,Phone,Credit Card,Instagram,2
C37375,1,2.0,1036.46,1036.46,518.23,5.0,2024-01-18,2024-01-18,529,529,0.0,Tablet,Debit Card,Email,3
C37412,1,1.0,432.47,432.47,432.47,4.0,2023-07-18,2023-07-18,713,713,0.0,Phone,Cash,Referral,2
C37454,1,3.0,1303.35,1303.35,434.45,4.0,2025-06-10,2025-06-10,20,20,0.05,Monitor,Credit Card,Referral,6
C37455,1,5.0,2380.05,2380.05,476.01,7.0,2023-10-22,2023-10-22,617,617,0.0,Phone,Credit Card,Google,5
C37531,1,5.0,1349.3,1349.3,269.86,6.0,2024-03-09,2024-03-09,478,478,0.0,Desk,Cash,Facebook,7
C37594,1,4.0,1361.2,1361.2,340.3,8.0,2024-06-11,2024-06-11,384,384,0.0,Laptop,Cash,Referral,0
C37969,1,3.0,362.46,362.46,120.82,5.0,2023-12-02,2023-12-02,576,576,0.0,Desk,Credit Card,Referral,7
C38024,1,2.0,546.86,546.86,273.43,7.0,2024-05-07,2024-05-07,419,419,0.0,Tablet,Cash,Referral,3
C38065,1,3.0,1178.55,1178.55,392.85,6.0,2023-03-02,2023-03-02,851,851,0.0,Printer,Credit Card,Google,1
C38068,1,5.0,1302.65,1302.65,260.53,5.0,2024-06-02,2024-06-02,393,393,0.0,Desk,Gift Card,Instagram,7
C38126,1,4.0,2060.76,2060.76,515.19,9.0,2024-12-19,2024-12-19,193,193,0.01,Printer,Credit Card,Facebook,5
C38134,1,2.0,419.88,419.88,209.94,3.0,2023-07-19,2023-07-19,712,712,0.0,Desk,Credit Card,Email,7
C38262,1,1.0,155.27,155.27,155.27,6.0,2024-01-30,2024-01-30,517,517,0.0,Tablet,Debit Card,Email,3
C38557,1,3.0,1915.5,1915.5,638.5,4.0,2025-04-27,2025-04-27,64,64,0.02,Monitor,Debit Card,Instagram,6
C38642,1,5.0,1046.0,1046.0,209.2,6.0,2023-08-21,2023-08-21,679,679,0.0,Laptop,Debit Card,Email,0
C38669,1,4.0,405.28,405.28,101.32,7.0,2023-02-17,2023-02-17,864,864,0.0,Monitor,Cash,Referral,6
C38785,1,2.0,361.0,361.0,180.5,6.0,2024-10-15,2024-10-15,258,258,0.0,Monitor,Debit Card,Referral,6
C38840,2,9.0,5662.6875,2831.34375,630.6300000000001,7.0,2023-06-07,2024-06-08,754,387,0.0,Chair,Credit Card,Facebook,4
C38845,1,1.0,532.89,532.89,532.89,2.0,2024-07-16,2024-07-16,349,349,0.0,Laptop,Gift Card,Referral,0
C38928,1,4.0,1671.56,1671.56,417.89,4.0,2024-09-14,2024-09-14,289,289,0.0,Laptop,Gift Card,Google,0
C38966,1,5.0,2021.95,2021.95,404.39,10.0,2024-08-31,2024-08-31,303,303,0.0,Printer,Online,Referral,5
C39000,1,1.0,287.46,287.46,287.46,3.0,2024-09-02,2024-09-02,301,301,0.0,Phone,Debit Card,Facebook,2
C39017,1,3.0,994.38,994.38,331.46,6.0,2023-07-12,2023-07-12,719,719,0.0,Chair,Credit Card,Referral,1
C39074,1,5.0,3032.6,3032.6,606.52,6.0,2023-10-25,2023-10-25,614,614,0.0,Laptop,Debit Card,Instagram,5
C39106,1,1.0,546.19,546.19,546.19,5.0,2024-02-07,2024-02-07,509,509,0.0,Printer,Cash,Referral,1
C39130,1,5.0,226.55,226.55,45.31,8.0,2023-08-23,2023-08-23,677,677,0.0,Chair,Online,Referral,1
C39176,1,4.0,1737.68,1737.68,434.42,6.0,2023-03-14,2023-03-14,839,839,0.0,Tablet,Online,Google,3
C39246,1,5.0,931.4,931.4,186.28,8.0,2024-04-18,2024-04-18,438,438,0.0,Monitor,Debit Card,Email,6
C39256,1,1.0,417.1,417.1,417.1,3.0,2024-08-21,2024-08-21,313,313,0.0,Desk,Debit Card,Referral,7
C39260,1,2.0,427.66,427.66,213.83,2.0,2023-08-13,2023-08-13,687,687,0.0,Tablet,Debit Card,Email,3
C39416,1,1.0,473.96,473.96,473.96,3.0,2023-07-17,2023-07-17,714,714,0.0,Printer,Cash,Google,1
C39530,1,3.0,1704.15,1704.15,568.05,6.0,2024-10-24,2024-10-24,249,249,0.0,Desk,Gift Card,Google,7
C39550,1,1.0,558.27,558.27,558.27,1.0,2025-05-14,2025-05-14,47,47,0.02,Phone,Online,Referral,2
C39551,1,1.0,76.93,76.93,76.93,6.0,2023-02-05,2023-02-05,876,876,0.0,Monitor,Debit Card,Instagram,6
C39593,1,3.0,2078.13,2078.13,692.71,3.0,2023-11-24,2023-11-24,584,584,0.0,Phone,Credit Card,Instagram,2
C39638,1,4.0,2161.32,2161.32,540.33,6.0,2025-02-28,2025-02-28,122,122,0.01,Laptop,Cash,Google,0
C39639,1,1.0,65.95,65.95,65.95,5.0,2025-01-15,2025-01-15,166,166,0.01,Monitor,Credit Card,Facebook,6
C39648,1,1.0,465.33,465.33,465.33,2.0,2023-11-30,2023-11-30,578,578,0.0,Chair,Gift Card,Google,1
C39664,1,5.0,946.25,946.25,189.25,10.0,2024-07-26,2024-07-26,339,339,0.0,Desk,Debit Card,Email,7
C39671,1,1.0,217.56,217.56,217.56,3.0,2023-12-27,2023-12-27,551,551,0.0,Laptop,Debit Card,Facebook,0
C39791,1,2.0,597.06,597.06,298.53,5.0,2024-01-16,2024-01-16,531,531,0.0,Chair,Debit Card,Email,1
C39906,1,1.0,75.01,75.01,75.01,3.0,2024-07-14,2024-07-14,351,351,0.0,Printer,Credit Card,Google,1
